"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.repeat.eventTime","EHDSAdministeredDosage.dosageDetails.repeat.eventTime","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Time period or event when the administration should happen ('before meal', 'immediately', 'morning').","Time period or event when the administration should happen ('before meal', 'immediately', 'morning').","","","","","","","","","",,"required","HL7 Event Timing","","",,,,"EHDSDosage.dosageDetails.repeat.eventTime",0,*,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.asNeeded","EHDSAdministeredDosage.dosageDetails.asNeeded","","","",0,0,"","","","boolean {[]} {[]}
","Take as needed.","Take as needed.","","","","","","","","","",,,,,"",,,,"EHDSDosage.dosageDetails.asNeeded",0,1,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.bodySite","EHDSAdministeredDosage.dosageDetails.bodySite","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSBodyStructure {[]} {[]}
","Body site of administration.","Body site of administration.","","","","","","","","","",,,,,"",,,,"EHDSDosage.dosageDetails.bodySite",0,1,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.routeOfAdministration","EHDSAdministeredDosage.dosageDetails.routeOfAdministration","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Route of administration.","Route of administration.","","","","","","","","","",,"required","EDQM Standard Terms","","",,,,"EHDSDosage.dosageDetails.routeOfAdministration",0,1,"",""
"EHDSAdvanceDirective","EHDSAdvanceDirective","EHDSAdvanceDirective","","","",0,*,"","","","null {[]} {[]}
","Advance directive model","EHDSAdvanceDirective means a documented expression of a patient's wishes, preferences or instructions regarding their healthcare, including, but not limited to, decisions concerning life-sustaining treatment or arrangements to take effect after death.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSAdvanceDirective","EHDSAdvanceDirective.header","EHDSAdvanceDirective.header","","","",1,1,"","","","Base {[]} {[]}
","Basic metadata for this information.","Basic metadata for this information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSAdvanceDirective","EHDSAdvanceDirective.header.subject","EHDSAdvanceDirective.header.subject","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information.","Patient/subject information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSAdvanceDirective","EHDSAdvanceDirective.header.identifier","EHDSAdvanceDirective.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier assigned to the resource or document (not a patient ID and not the technical resource ID).","Business identifier assigned to the resource or document (not a patient ID and not the technical resource ID).","Business identifier is unique within the system that assigns them. The same entity may have different unique identifiers assigned by different systems. Therefore, the identifier is always expected to be a pair of a system and a value.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSAdvanceDirective","EHDSAdvanceDirective.header.author[x]","EHDSAdvanceDirective.header.author[x]","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSRelatedPerson {[]} {[]}","Author of the resource.","Author of the advance directive.","Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSAdvanceDirective","EHDSAdvanceDirective.header.patientInsertedData","EHDSAdvanceDirective.header.patientInsertedData","","","",0,1,"","","","boolean {[]} {[]}
","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.patientInsertedData",0,1,"",""
